step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well,liquid_type_x,liquid_type_y,liquid_type
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,D004-N1,2,15,10,3.0,15,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,15,ivl_384_flat_v1_0001,5,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,D004-P1,2,16,10,3.0,16,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,16,ivl_384_flat_v1_0001,7,pbst,,pbst
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,17,11,12.0,17,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,17,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,18,11,12.0,18,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,18,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,19,11,12.0,19,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,19,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,20,11,12.0,20,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,20,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,21,11,12.0,21,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,21,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,22,11,12.0,22,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,22,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,23,11,12.0,23,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,23,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,24,11,12.0,24,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,24,ivl_96_dw_v1_0001,1,imaging,,imaging
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,R007-N1,2,17,12,4.0,17,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,17,ivl_384_flat_v1_0001,9,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,R007-P1,2,18,12,4.0,18,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,18,ivl_384_flat_v1_0001,11,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,ABI-131-N1,2,19,12,4.0,19,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,19,ivl_384_flat_v1_0001,1,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,ABI-131-P1,2,20,12,4.0,20,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,20,ivl_384_flat_v1_0001,3,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,D004-N1,2,21,12,4.0,21,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,21,ivl_384_flat_v1_0001,5,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,D004-P1,2,22,12,4.0,22,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,22,ivl_384_flat_v1_0001,7,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,R007-N1,2,23,12,4.0,23,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,23,ivl_384_flat_v1_0001,9,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,R007-P1,2,24,12,4.0,24,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,24,ivl_384_flat_v1_0001,11,pbst,,pbst
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,25,13,14.0,25,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,25,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,26,13,14.0,26,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,26,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,27,13,14.0,27,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,27,ivl_96_dw_v1_0001,1,imaging,,imaging
